"p16a","p16b","p18a","ly18b","ly13a","ly13b","ly16a","ly16b","ly18a","p18b","ly20","ly7"
"ENSMUSG00000108153.1",0,1,3,2,0,0,2,1,2,0,0,3
"ENSMUSG00000108154.1",0,1,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000108155.1",6,9,12,2,0,1,0,0,0,6,0,0
"ENSMUSG00000108156.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108157.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108158.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108159.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108160.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108161.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108162.1",0,2,3,1,0,0,0,2,0,1,0,0
"ENSMUSG00000108163.1",7,12,9,10,12,12,19,12,6,16,5,14
"ENSMUSG00000108164.1",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000108166.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108167.1",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000108168.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108169.1",15,17,18,0,0,5,0,0,1,11,1,0
"ENSMUSG00000108170.1",1,0,1,2,2,0,0,0,2,2,0,0
"ENSMUSG00000108171.1",10,13,24,11,0,1,0,2,2,9,0,1
"ENSMUSG00000108172.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108173.1",0,3,3,0,0,0,0,0,0,1,0,1
"ENSMUSG00000108174.1",0,3,2,1,0,0,0,1,0,0,0,1
"ENSMUSG00000108175.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108176.1",47,33,44,22,33,16,17,4,15,21,33,18
"ENSMUSG00000108177.1",5,6,2,2,6,2,9,3,1,4,6,2
"ENSMUSG00000108178.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108179.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108180.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108181.1",71,60,31,28,33,43,46,69,53,30,65,58
"ENSMUSG00000108182.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108183.1",701,876,776,890,1082,724,1017,1206,1521,750,1283,1404
"ENSMUSG00000108184.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108185.1",32,44,47,23,42,39,42,37,31,34,37,32
"ENSMUSG00000108186.1",4,10,11,8,7,5,10,14,12,9,10,5
"ENSMUSG00000108187.1",0,0,3,8,2,0,0,0,1,2,1,6
"ENSMUSG00000108188.1",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000108189.1",0,1,0,2,0,0,1,0,1,0,1,0
"ENSMUSG00000108190.1",0,1,1,1,1,0,0,3,0,2,0,0
"ENSMUSG00000108191.1",0,2,0,0,0,0,0,0,1,1,0,0
"ENSMUSG00000108192.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108193.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108194.1",0,3,3,1,0,1,7,1,2,2,4,8
"ENSMUSG00000108195.1",19,9,5,0,0,0,0,0,0,4,2,0
"ENSMUSG00000108196.1",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000108197.1",7,5,4,8,3,5,6,1,6,6,9,13
"ENSMUSG00000108198.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108199.1",4,3,6,1,0,0,3,10,3,4,2,1
"ENSMUSG00000108200.1",2,2,0,0,0,0,0,0,0,2,0,0
"ENSMUSG00000108201.1",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000108202.1",2,4,8,5,11,6,8,7,9,14,5,5
"ENSMUSG00000108203.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108204.1",1079,2826,2694,3701,5324,2921,2467,4251,5613,1839,3077,6046
"ENSMUSG00000108205.1",117,172,201,221,307,136,204,204,300,146,208,288
"ENSMUSG00000108206.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108207.2",3,15,15,7,8,7,5,3,13,11,11,12
"ENSMUSG00000108208.1",2,0,1,1,2,0,1,0,1,0,1,0
"ENSMUSG00000108209.1",2,0,0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000108210.1",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108211.1",2,3,4,0,0,0,0,0,0,7,0,0
"ENSMUSG00000108212.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108213.1",0,0,1,2,0,1,0,0,1,0,0,0
"ENSMUSG00000108214.1",2,1,2,2,2,0,0,0,1,3,0,0
"ENSMUSG00000108215.1",1,1,6,1,4,3,2,1,2,3,1,2
"ENSMUSG00000108216.1",0,2,1,0,0,0,0,0,0,6,0,0
"ENSMUSG00000108217.1",0,1,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108218.1",9,7,6,3,2,3,23,5,3,3,12,7
"ENSMUSG00000108219.1",2,1,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108220.1",0,1,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108221.1",7,9,13,1,5,6,5,0,3,6,2,5
"ENSMUSG00000108222.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108223.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108224.1",10,13,11,6,9,6,15,9,21,8,11,4
"ENSMUSG00000108225.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108226.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108227.1",3,6,0,0,0,0,0,3,0,2,0,0
"ENSMUSG00000108228.2",0,0,1,0,0,0,0,0,0,0,0,8
"ENSMUSG00000108229.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108230.1",0,0,0,1,0,0,0,0,0,1,0,0
"ENSMUSG00000108231.1",4978,6778,8029,8902,11817,5828,9419,7864,9867,6399,8901,10854
"ENSMUSG00000108232.1",2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108233.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108234.1",0,2,0,1,0,0,0,0,1,0,0,0
"ENSMUSG00000108235.1",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108236.1",6,1,2,18,10,6,5,8,8,5,9,8
"ENSMUSG00000108237.1",0,0,2,0,0,0,1,1,0,0,0,1
"ENSMUSG00000108238.1",42,105,54,3,6,17,0,8,0,31,1,5
"ENSMUSG00000108239.1",1,0,0,0,0,0,0,0,0,0,0,4
"ENSMUSG00000108240.1",0,0,0,0,1,1,0,2,0,0,0,0
"ENSMUSG00000108241.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108242.1",11,7,8,0,4,12,0,3,3,6,0,5
"ENSMUSG00000108244.1",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000108245.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108246.1",2,3,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108247.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108248.1",0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000108249.1",2,3,2,2,2,4,3,5,1,3,3,0
"ENSMUSG00000108250.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108251.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108252.1",1,21,9,3,2,7,3,9,7,12,5,5
"ENSMUSG00000108253.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108254.1",6,5,7,0,0,0,0,0,0,6,0,0
"ENSMUSG00000108255.1",7,8,10,1,13,2,24,0,6,12,24,0
"ENSMUSG00000108256.1",4,1,0,0,1,1,0,0,2,2,1,3
"ENSMUSG00000108257.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108258.1",0,0,2,0,0,0,0,0,0,4,1,1
"ENSMUSG00000108259.1",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000108260.1",3,5,3,0,0,0,0,0,1,1,0,0
"ENSMUSG00000108261.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108262.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108263.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108264.1",7,3,3,0,0,0,0,7,0,1,0,0
"ENSMUSG00000108265.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108266.1",20,42,34,30,52,39,47,70,49,41,31,37
"ENSMUSG00000108267.1",127,251,181,4,0,19,0,27,1,96,17,0
"ENSMUSG00000108268.1",2,3,4,0,0,0,1,1,1,4,0,1
"ENSMUSG00000108269.1",22,21,19,3,5,2,0,0,0,15,0,1
"ENSMUSG00000108270.1",372,565,754,763,1062,550,849,683,720,529,667,815
"ENSMUSG00000108271.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108272.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108273.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108274.1",0,0,1,0,0,0,0,0,0,1,0,0
"ENSMUSG00000108275.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108276.1",0,3,7,0,0,1,0,0,0,0,0,0
"ENSMUSG00000108277.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108278.1",0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000108279.1",0,1,2,0,0,0,0,0,1,0,0,0
"ENSMUSG00000108280.1",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000108281.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108282.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108283.1",0,2,0,1,0,0,0,0,0,1,1,0
"ENSMUSG00000108284.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108285.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108286.1",2,1,1,0,0,0,0,0,0,0,1,0
"ENSMUSG00000108287.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108288.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108289.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108290.1",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000108291.1",4,4,2,0,0,0,0,0,0,5,0,0
"ENSMUSG00000108292.1",3,4,9,8,19,10,15,10,8,13,5,5
"ENSMUSG00000108293.1",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108294.1",150,258,185,106,119,207,128,211,188,137,134,240
"ENSMUSG00000108295.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108296.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108297.1",3,1,2,0,0,0,2,0,0,1,3,0
"ENSMUSG00000108298.1",2,2,8,0,0,0,0,0,0,11,0,0
"ENSMUSG00000108299.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108300.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108301.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108302.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108303.1",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000108304.1",22,26,17,21,29,12,32,30,26,27,26,22
"ENSMUSG00000108305.1",1,2,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108306.1",1,1,0,0,1,0,1,2,0,0,0,0
"ENSMUSG00000108307.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108308.1",0,0,1,0,0,0,0,0,9,4,0,0
"ENSMUSG00000108309.1",4,5,2,1,2,2,3,0,1,3,0,0
"ENSMUSG00000108310.1",0,3,2,1,1,0,4,2,1,3,1,0
"ENSMUSG00000108311.1",0,0,0,0,0,0,0,1,2,0,0,0
"ENSMUSG00000108312.1",123,131,121,19,135,107,73,42,45,74,49,34
"ENSMUSG00000108313.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108314.1",94,226,157,163,170,194,169,271,234,113,280,393
"ENSMUSG00000108315.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108316.1",0,1,2,0,4,0,1,1,0,1,0,0
"ENSMUSG00000108317.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108318.1",2,1,9,0,8,0,0,3,1,7,0,2
"ENSMUSG00000108319.1",3,8,5,0,0,2,2,2,0,9,1,0
"ENSMUSG00000108320.1",0,0,1,0,3,2,0,0,2,0,1,0
"ENSMUSG00000108321.1",0,1,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000108322.1",18,31,10,1,3,8,2,4,5,18,6,2
"ENSMUSG00000108323.1",0,3,0,0,0,0,0,0,1,2,0,1
"ENSMUSG00000108324.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108325.1",1,2,1,0,1,0,0,0,0,2,0,0
"ENSMUSG00000108326.1",0,0,0,0,2,0,1,1,0,0,2,0
"ENSMUSG00000108327.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108328.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108329.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108330.1",0,0,0,0,0,1,0,0,1,0,1,9
"ENSMUSG00000108331.1",17,48,15,6,13,19,14,18,17,21,10,26
"ENSMUSG00000108332.1",3,1,2,2,1,5,3,1,2,3,1,2
"ENSMUSG00000108333.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108334.1",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000108335.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108336.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108337.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108338.1",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108339.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108340.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108341.1",0,1,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000108342.1",0,0,0,0,2,0,0,0,0,0,1,0
"ENSMUSG00000108343.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108344.1",30,48,45,69,83,67,80,109,89,33,88,133
"ENSMUSG00000108345.1",0,1,1,0,6,2,0,0,2,0,3,3
"ENSMUSG00000108346.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108347.1",1,1,2,0,0,0,0,0,0,2,0,0
"ENSMUSG00000108348.2",103,92,76,147,223,219,425,240,297,75,570,391
"ENSMUSG00000108349.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108350.1",254,316,231,203,225,394,300,452,415,208,504,644
"ENSMUSG00000108351.1",0,0,0,0,0,0,0,0,2,0,0,3
"ENSMUSG00000108352.1",163,122,110,118,114,98,200,108,132,112,169,197
"ENSMUSG00000108353.1",8,9,6,1,0,0,1,0,2,5,0,3
"ENSMUSG00000108354.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108355.1",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108356.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108357.1",122,157,132,111,119,102,178,142,176,125,130,201
"ENSMUSG00000108358.1",81,41,23,55,87,47,110,116,62,43,95,65
"ENSMUSG00000108359.1",8,2,10,0,3,0,0,0,0,4,0,0
"ENSMUSG00000108360.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108361.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108362.1",71,73,81,51,63,54,75,57,66,62,93,114
"ENSMUSG00000108363.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108364.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108365.1",3,5,4,1,0,3,1,0,0,4,0,1
"ENSMUSG00000108366.1",33957,76413,72165,32108,58546,35811,35206,49221,42616,58150,23306,51548
"ENSMUSG00000108367.2",0,0,0,0,0,0,4,0,0,0,0,0
"ENSMUSG00000108368.1",0,3,1,2,1,0,1,2,0,2,0,0
"ENSMUSG00000108369.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108370.1",171,167,196,91,172,74,149,107,105,149,72,118
"ENSMUSG00000108371.1",2,6,3,0,3,1,0,0,2,3,0,3
"ENSMUSG00000108372.1",0,1,2,0,0,1,0,0,0,0,0,0
"ENSMUSG00000108373.1",0,0,0,0,0,2,0,0,0,1,0,0
"ENSMUSG00000108374.1",1,0,0,0,0,0,1,0,1,1,0,0
"ENSMUSG00000108375.1",0,5,2,1,0,1,0,0,0,3,0,0
"ENSMUSG00000108376.1",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108377.1",0,0,0,0,1,1,0,0,1,0,0,0
"ENSMUSG00000108378.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108379.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108380.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108381.1",319,1022,671,243,330,562,291,467,400,448,295,416
"ENSMUSG00000108382.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108383.1",0,2,0,6,0,6,15,0,0,0,3,8
"ENSMUSG00000108384.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108385.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108387.1",0,0,1,1,0,2,0,3,1,2,0,1
"ENSMUSG00000108388.1",4,3,7,0,3,0,0,1,0,2,0,0
"ENSMUSG00000108389.1",4,2,10,0,3,0,0,0,0,5,0,0
"ENSMUSG00000108390.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108391.1",4,1,1,0,2,1,0,2,0,3,0,6
"ENSMUSG00000108392.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108393.1",10,14,8,33,44,9,18,26,29,9,21,30
"ENSMUSG00000108394.1",29,24,13,1,1,0,4,0,0,11,0,2
"ENSMUSG00000108395.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108396.1",3658,3391,3780,1987,3525,1833,3604,2357,2284,3143,2405,2558
"ENSMUSG00000108397.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108398.1",21,49,8,8,2,3,3,61,73,27,71,96
"ENSMUSG00000108400.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108401.1",1473,2148,2200,1025,1784,775,1298,1143,1571,1503,1348,1679
"ENSMUSG00000108402.1",12,13,5,0,5,3,6,0,0,10,1,11
"ENSMUSG00000108403.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108404.1",0,0,0,0,2,1,2,0,0,0,1,0
"ENSMUSG00000108405.1",1,0,2,1,3,3,0,1,6,2,0,0
"ENSMUSG00000108406.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108407.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108409.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108410.1",0,0,0,0,0,0,1,1,0,0,0,0
"ENSMUSG00000108411.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108412.1",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108413.1",0,0,0,0,0,0,0,3,0,0,0,0
"ENSMUSG00000108414.1",2115,2859,2667,2233,3283,1864,3064,2880,2797,2521,2082,2935
"ENSMUSG00000108415.1",25,24,18,8,20,9,7,33,9,10,2,8
"ENSMUSG00000108416.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108417.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108418.1",0,3,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000108419.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108420.1",0,0,0,0,0,0,0,0,0,0,1,1
"ENSMUSG00000108421.1",0,0,0,3,0,0,0,1,0,0,3,2
"ENSMUSG00000108422.1",0,1,1,0,0,0,0,0,0,0,1,1
"ENSMUSG00000108423.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108424.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108425.1",0,0,3,0,0,0,0,0,0,2,0,0
"ENSMUSG00000108426.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108427.1",0,1,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108428.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108429.1",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108430.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108431.1",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108432.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108433.1",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000108434.1",391,400,343,582,747,734,940,964,713,225,1118,1273
"ENSMUSG00000108435.1",32,31,20,21,40,12,36,32,52,23,54,54
"ENSMUSG00000108436.1",4,1,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000108437.1",6396,8895,8788,5978,8321,3972,6320,6046,6919,7962,4805,7198
"ENSMUSG00000108438.1",107,278,296,197,287,253,144,276,340,183,223,328
"ENSMUSG00000108440.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108441.1",0,0,1,0,0,0,0,1,0,0,0,2
"ENSMUSG00000108442.1",6889,10813,13941,6844,10660,5505,7488,7962,9412,9439,6664,10993
"ENSMUSG00000108443.1",65,119,93,99,136,104,127,140,62,157,38,82
"ENSMUSG00000108444.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108445.1",0,1,0,2,3,2,3,3,4,0,1,0
"ENSMUSG00000108446.1",26,17,8,12,15,31,17,12,16,11,28,21
"ENSMUSG00000108447.1",20,30,40,1,4,6,1,0,0,23,2,1
"ENSMUSG00000108448.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108449.1",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000108450.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108451.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108452.1",20,10,5,10,13,11,15,19,19,16,30,18
"ENSMUSG00000108454.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108455.1",0,0,4,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108456.1",59,97,118,27,11,46,16,40,42,152,20,67
"ENSMUSG00000108457.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108458.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108459.1",0,0,0,1,0,1,1,0,0,0,1,1
"ENSMUSG00000108460.1",6,5,5,0,0,3,0,0,0,2,0,0
"ENSMUSG00000108461.1",126,164,157,284,171,250,269,337,319,203,225,445
"ENSMUSG00000108462.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108464.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108465.1",33,36,37,6,4,5,0,6,4,16,0,10
"ENSMUSG00000108466.1",4,2,0,0,0,0,1,0,1,0,0,5
"ENSMUSG00000108467.1",0,0,0,0,4,0,0,0,0,0,0,0
"ENSMUSG00000108468.1",0,0,0,2,9,3,9,3,9,0,7,17
"ENSMUSG00000108469.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108470.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108471.1",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000108472.1",2,13,9,0,3,0,0,0,3,8,1,14
"ENSMUSG00000108473.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108474.1",2,8,5,0,2,5,0,0,0,2,1,0
"ENSMUSG00000108476.1",9,9,2,0,0,0,0,0,0,7,0,0
"ENSMUSG00000108477.1",21,19,13,16,20,16,45,29,33,25,21,36
"ENSMUSG00000108478.1",0,1,1,0,0,2,1,0,0,0,0,0
"ENSMUSG00000108479.1",0,0,0,3,2,0,0,0,4,0,0,0
"ENSMUSG00000108480.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108481.1",0,1,1,0,0,0,0,0,0,1,0,0
"ENSMUSG00000108482.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108483.1",2,3,0,0,0,0,0,2,3,5,0,0
"ENSMUSG00000108484.1",64,113,82,44,53,105,63,75,81,68,67,103
"ENSMUSG00000108485.1",0,0,1,1,0,0,0,1,2,0,0,1
"ENSMUSG00000108486.1",10,11,11,2,1,1,2,0,0,3,0,5
"ENSMUSG00000108487.1",0,0,1,1,0,0,0,0,3,1,1,2
"ENSMUSG00000108488.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108489.1",3,5,1,0,0,0,0,0,0,3,0,0
"ENSMUSG00000108490.1",1,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108491.1",1,9,3,2,3,1,5,1,5,8,6,0
"ENSMUSG00000108492.1",4,4,5,3,6,0,5,2,2,5,2,2
"ENSMUSG00000108493.1",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108494.1",48,36,41,3,0,3,7,9,1,27,2,3
"ENSMUSG00000108495.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108496.1",2616,3430,3346,1828,2952,1305,2399,1965,2321,2791,2023,2942
"ENSMUSG00000108497.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108498.1",0,0,0,0,0,1,1,0,0,0,1,1
"ENSMUSG00000108499.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108500.1",2,0,2,0,0,1,0,1,0,1,0,0
"ENSMUSG00000108502.1",2,6,8,1,4,2,2,4,6,4,2,8
"ENSMUSG00000108503.1",0,2,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000108504.1",0,0,2,0,0,0,0,0,0,1,0,0
"ENSMUSG00000108505.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108506.1",5672,9245,9507,8657,7372,6857,7957,10103,13371,8559,9491,12450
"ENSMUSG00000108507.1",5,10,10,12,35,19,5,16,20,6,28,26
"ENSMUSG00000108508.1",69,74,87,82,99,59,92,63,60,69,68,69
"ENSMUSG00000108509.1",0,0,1,0,0,0,3,0,0,0,0,0
"ENSMUSG00000108510.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108511.1",0,0,1,1,0,1,1,0,0,1,1,0
"ENSMUSG00000108512.1",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108513.1",1,4,5,0,0,0,0,1,0,0,5,6
"ENSMUSG00000108514.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108515.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108516.1",1,0,2,2,0,0,1,1,1,0,1,0
